timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,anomaly
2023-01-01 00:00:00.000000,192.168.1.130,10.0.0.67,TCP,6646,22,5635,1
2023-01-01 00:00:01.000000,192.168.1.218,10.0.0.1,TCP,7791,80,479,1
2023-01-01 00:00:02.000000,192.168.1.17,10.0.0.161,TCP,28163,443,597,0
2023-01-01 00:00:03.000000,192.168.1.104,10.0.0.168,ICMP,12637,80,728,0
2023-01-01 00:00:04.000000,192.168.1.161,10.0.0.74,TCP,57162,443,464,0
2023-01-01 00:00:05.000000,192.168.1.137,10.0.0.43,ICMP,53693,443,464,0
2023-01-01 00:00:06.000000,192.168.1.43,10.0.0.44,TCP,11613,443,736,0
2023-01-01 00:00:07.000000,192.168.1.246,10.0.0.29,UDP,14942,443,615,0
2023-01-01 00:00:08.000000,192.168.1.176,10.0.0.141,TCP,21143,443,429,0
2023-01-01 00:00:09.000000,192.168.1.39,10.0.0.12,ICMP,28470,443,581,0
2023-01-01 00:00:10.000000,192.168.1.221,10.0.0.95,TCP,59528,22,430,0
2023-01-01 00:00:11.000000,192.168.1.170,10.0.0.46,TCP,14070,80,430,0
2023-01-01 00:00:12.000000,192.168.1.247,10.0.0.130,ICMP,65410,443,536,0
2023-01-01 00:00:13.000000,192.168.1.26,10.0.0.253,TCP,25842,443,213,0
2023-01-01 00:00:14.000000,192.168.1.99,10.0.0.243,TCP,36382,22,241,0
2023-01-01 00:00:15.000000,192.168.1.50,10.0.0.242,TCP,51239,443,415,0
2023-01-01 00:00:16.000000,192.168.1.153,10.0.0.35,TCP,5348,53,348,0
2023-01-01 00:00:17.000000,192.168.1.152,10.0.0.215,TCP,11811,8080,547,0
2023-01-01 00:00:18.000000,192.168.1.13,10.0.0.81,TCP,10135,80,363,0
2023-01-01 00:00:19.000000,192.168.1.60,10.0.0.90,UDP,39134,80,288,0
2023-01-01 00:00:20.000000,192.168.1.250,10.0.0.1,TCP,17413,80,719,1
2023-01-01 00:00:21.000000,192.168.1.135,10.0.0.93,TCP,57665,80,466,0
2023-01-01 00:00:22.000000,192.168.1.57,10.0.0.154,ICMP,42451,443,510,0
2023-01-01 00:00:23.000000,192.168.1.36,10.0.0.202,UDP,15067,8080,286,0
2023-01-01 00:00:24.000000,192.168.1.173,10.0.0.90,TCP,29770,80,418,0
2023-01-01 00:00:25.000000,192.168.1.20,10.0.0.162,TCP,58371,80,516,0
2023-01-01 00:00:26.000000,192.168.1.65,10.0.0.115,TCP,23374,80,327,0
2023-01-01 00:00:27.000000,192.168.1.8,10.0.0.105,TCP,42629,22,7082,1
2023-01-01 00:00:28.000000,192.168.1.238,10.0.0.135,TCP,1141,443,409,0
2023-01-01 00:00:29.000000,192.168.1.144,10.0.0.196,TCP,61296,80,456,0
2023-01-01 00:00:30.000000,192.168.1.142,10.0.0.58,TCP,47709,8080,409,0
2023-01-01 00:00:31.000000,192.168.1.204,10.0.0.245,TCP,19959,22,777,0
2023-01-01 00:00:32.000000,192.168.1.115,10.0.0.114,ICMP,48101,80,497,0
2023-01-01 00:00:33.000000,192.168.1.215,10.0.0.237,ICMP,14258,443,341,0
2023-01-01 00:00:34.000000,192.168.1.143,10.0.0.75,TCP,65085,22,623,0
