timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,anomaly
2023-01-01 00:00:00.000000,192.168.1.119,10.0.0.58,TCP,49738,443,574,0
2023-01-01 00:00:01.000000,192.168.1.172,10.0.0.159,TCP,4772,443,479,0
2023-01-01 00:00:02.000000,192.168.1.49,10.0.0.110,TCP,34069,443,597,0
2023-01-01 00:00:03.000000,192.168.1.104,10.0.0.228,UDP,27577,443,728,0
2023-01-01 00:00:04.000000,192.168.1.100,10.0.0.15,TCP,52035,80,464,1
2023-01-01 00:00:05.000000,192.168.1.61,10.0.0.180,UDP,61404,80,464,0
2023-01-01 00:00:06.000000,192.168.1.195,10.0.0.143,ICMP,45355,80,736,0
2023-01-01 00:00:07.000000,192.168.1.123,10.0.0.211,TCP,31521,443,615,0
2023-01-01 00:00:08.000000,192.168.1.134,10.0.0.135,TCP,32332,80,429,0
2023-01-01 00:00:09.000000,192.168.1.9,10.0.0.243,TCP,56105,80,581,0
2023-01-01 00:00:10.000000,192.168.1.6,10.0.0.28,TCP,40584,443,430,0
2023-01-01 00:00:11.000000,192.168.1.73,10.0.0.51,TCP,54889,53,430,0
2023-01-01 00:00:12.000000,192.168.1.103,10.0.0.235,UDP,47710,80,536,0
2023-01-01 00:00:13.000000,192.168.1.223,10.0.0.186,UDP,11398,443,213,0
2023-01-01 00:00:14.000000,192.168.1.160,10.0.0.5,TCP,5699,443,241,0
2023-01-01 00:00:15.000000,192.168.1.41,10.0.0.5,TCP,2194,22,415,0
2023-01-01 00:00:16.000000,192.168.1.114,10.0.0.94,UDP,42473,8080,348,0
2023-01-01 00:00:17.000000,192.168.1.204,10.0.0.246,ICMP,44509,80,547,0
2023-01-01 00:00:18.000000,192.168.1.8,10.0.0.96,UDP,59550,80,363,0
2023-01-01 00:00:19.000000,192.168.1.72,10.0.0.8,TCP,62847,53,288,0
2023-01-01 00:00:20.000000,192.168.1.178,10.0.0.64,TCP,13474,443,719,0
2023-01-01 00:00:21.000000,192.168.1.92,10.0.0.138,TCP,11704,443,4610,1
2023-01-01 00:00:22.000000,192.168.1.62,10.0.0.38,TCP,11092,443,510,0
2023-01-01 00:00:23.000000,192.168.1.84,10.0.0.111,TCP,55484,443,286,0
2023-01-01 00:00:24.000000,192.168.1.62,10.0.0.224,TCP,36254,8080,418,0
2023-01-01 00:00:25.000000,192.168.1.111,10.0.0.112,TCP,47442,8080,516,0
2023-01-01 00:00:26.000000,192.168.1.251,10.0.0.220,TCP,27230,22,327,0
2023-01-01 00:00:27.000000,192.168.1.127,10.0.0.81,TCP,63668,80,556,0
