timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,anomaly
2023-01-01 00:00:00.000000,192.168.1.161,10.0.0.44,TCP,14070,22,7971,1
2023-01-01 00:00:01.000000,192.168.1.100,10.0.0.5,ICMP,65410,80,479,1
2023-01-01 00:00:02.000000,192.168.1.43,10.0.0.141,TCP,25842,80,597,0
2023-01-01 00:00:03.000000,192.168.1.246,10.0.0.12,UDP,36382,22,728,0
2023-01-01 00:00:04.000000,192.168.1.176,10.0.0.95,TCP,51239,22,464,0
2023-01-01 00:00:05.000000,192.168.1.39,10.0.0.46,ICMP,5348,443,464,0
2023-01-01 00:00:06.000000,192.168.1.221,10.0.0.130,TCP,11811,443,736,0
2023-01-01 00:00:07.000000,192.168.1.170,10.0.0.253,TCP,10135,443,615,0
2023-01-01 00:00:08.000000,192.168.1.247,10.0.0.243,ICMP,39134,80,429,0
2023-01-01 00:00:09.000000,192.168.1.26,10.0.0.242,TCP,17413,80,581,0
2023-01-01 00:00:10.000000,192.168.1.99,10.0.0.35,TCP,57665,80,430,0
2023-01-01 00:00:11.000000,192.168.1.50,10.0.0.215,TCP,42451,8080,430,0
2023-01-01 00:00:12.000000,192.168.1.153,10.0.0.81,TCP,15067,443,536,0
2023-01-01 00:00:13.000000,192.168.1.152,10.0.0.90,TCP,29770,443,213,0
2023-01-01 00:00:14.000000,192.168.1.13,10.0.0.8,TCP,58371,443,241,0
2023-01-01 00:00:15.000000,192.168.1.60,10.0.0.93,UDP,23374,8080,415,0
2023-01-01 00:00:16.000000,192.168.1.250,10.0.0.154,TCP,42629,80,348,0
2023-01-01 00:00:17.000000,192.168.1.135,10.0.0.202,TCP,1141,443,547,0
2023-01-01 00:00:18.000000,192.168.1.57,10.0.0.90,ICMP,61296,443,363,0
2023-01-01 00:00:19.000000,192.168.1.36,10.0.0.162,UDP,47709,443,288,0
2023-01-01 00:00:20.000000,192.168.1.173,10.0.0.115,TCP,19959,80,8791,1
2023-01-01 00:00:21.000000,192.168.1.20,10.0.0.1,TCP,48101,80,466,1
2023-01-01 00:00:22.000000,192.168.1.65,10.0.0.135,TCP,14258,8080,510,0
2023-01-01 00:00:23.000000,192.168.1.8,10.0.0.196,TCP,65085,443,286,0
2023-01-01 00:00:24.000000,192.168.1.238,10.0.0.58,TCP,39352,443,418,0
2023-01-01 00:00:25.000000,192.168.1.144,10.0.0.245,TCP,54465,8080,516,0
2023-01-01 00:00:26.000000,192.168.1.142,10.0.0.114,TCP,1870,22,5633,1
2023-01-01 00:00:27.000000,192.168.1.100,10.0.0.1,TCP,11978,22,556,1
2023-01-01 00:00:28.000000,192.168.1.115,10.0.0.75,ICMP,14727,443,409,0
2023-01-01 00:00:29.000000,192.168.1.215,10.0.0.157,ICMP,49177,443,456,0
