timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,anomaly
2023-01-01 00:00:00.000000,192.168.1.62,10.0.0.191,TCP,29387,80,574,0
2023-01-01 00:00:01.000000,192.168.1.132,10.0.0.234,TCP,31744,443,479,0
2023-01-01 00:00:02.000000,192.168.1.251,10.0.0.182,ICMP,10996,443,597,0
2023-01-01 00:00:03.000000,192.168.1.60,10.0.0.170,TCP,34375,8080,728,0
2023-01-01 00:00:04.000000,192.168.1.116,10.0.0.149,UDP,46511,80,464,0
2023-01-01 00:00:05.000000,192.168.1.75,10.0.0.79,TCP,37169,443,464,0
2023-01-01 00:00:06.000000,192.168.1.122,10.0.0.209,UDP,23436,443,736,0
2023-01-01 00:00:07.000000,192.168.1.223,10.0.0.22,TCP,25102,443,615,0
2023-01-01 00:00:08.000000,192.168.1.107,10.0.0.166,TCP,23604,80,429,0
2023-01-01 00:00:09.000000,192.168.1.96,10.0.0.99,UDP,57259,443,581,0
2023-01-01 00:00:10.000000,192.168.1.91,10.0.0.237,TCP,15879,443,430,0
2023-01-01 00:00:11.000000,192.168.1.158,10.0.0.208,TCP,37193,22,430,0
2023-01-01 00:00:12.000000,192.168.1.235,10.0.0.8,TCP,47428,8080,536,0
2023-01-01 00:00:13.000000,192.168.1.130,10.0.0.190,TCP,20593,80,213,0
2023-01-01 00:00:14.000000,192.168.1.62,10.0.0.175,TCP,60562,80,241,0
2023-01-01 00:00:15.000000,192.168.1.49,10.0.0.17,TCP,64494,443,415,0
2023-01-01 00:00:16.000000,192.168.1.137,10.0.0.1,TCP,55461,80,348,1
2023-01-01 00:00:17.000000,192.168.1.92,10.0.0.246,TCP,49530,80,547,0
2023-01-01 00:00:18.000000,192.168.1.159,10.0.0.90,TCP,26762,22,363,0
2023-01-01 00:00:19.000000,192.168.1.124,10.0.0.141,TCP,7796,8080,288,0
2023-01-01 00:00:20.000000,192.168.1.226,10.0.0.145,UDP,25898,8080,719,0
2023-01-01 00:00:21.000000,192.168.1.61,10.0.0.166,UDP,20755,80,466,0
2023-01-01 00:00:22.000000,192.168.1.248,10.0.0.81,UDP,11155,53,510,0
2023-01-01 00:00:23.000000,192.168.1.207,10.0.0.240,TCP,1812,22,286,0
2023-01-01 00:00:24.000000,192.168.1.48,10.0.0.78,TCP,55121,443,418,0
2023-01-01 00:00:25.000000,192.168.1.153,10.0.0.173,TCP,17208,443,516,0
2023-01-01 00:00:26.000000,192.168.1.164,10.0.0.6,TCP,31921,53,327,0
2023-01-01 00:00:27.000000,192.168.1.136,10.0.0.163,TCP,3913,443,556,0
2023-01-01 00:00:28.000000,192.168.1.201,10.0.0.110,TCP,10593,80,409,0
2023-01-01 00:00:29.000000,192.168.1.250,10.0.0.14,TCP,22681,443,456,0
2023-01-01 00:00:30.000000,192.168.1.58,10.0.0.239,UDP,11165,443,409,0
2023-01-01 00:00:31.000000,192.168.1.101,10.0.0.72,TCP,20680,80,777,0
2023-01-01 00:00:32.000000,192.168.1.112,10.0.0.189,TCP,59245,8080,497,0
2023-01-01 00:00:33.000000,192.168.1.173,10.0.0.143,TCP,22642,443,341,0
2023-01-01 00:00:34.000000,192.168.1.62,10.0.0.54,TCP,12958,443,623,0
2023-01-01 00:00:35.000000,192.168.1.100,10.0.0.2,UDP,43561,80,316,1
2023-01-01 00:00:36.000000,192.168.1.224,10.0.0.27,TCP,24310,443,531,0
2023-01-01 00:00:37.000000,192.168.1.58,10.0.0.13,TCP,61507,80,206,0
2023-01-01 00:00:38.000000,192.168.1.244,10.0.0.241,TCP,8636,80,300,0
2023-01-01 00:00:39.000000,192.168.1.209,10.0.0.159,TCP,52668,443,529,0
2023-01-01 00:00:40.000000,192.168.1.99,10.0.0.245,TCP,33093,443,610,0
2023-01-01 00:00:41.000000,192.168.1.229,10.0.0.248,UDP,17229,443,525,0
2023-01-01 00:00:42.000000,192.168.1.211,10.0.0.163,UDP,28355,80,482,0
2023-01-01 00:00:43.000000,192.168.1.192,10.0.0.60,UDP,56921,443,454,0
2023-01-01 00:00:44.000000,192.168.1.44,10.0.0.6,TCP,14958,80,278,0
2023-01-01 00:00:45.000000,192.168.1.29,10.0.0.197,UDP,11119,8080,392,0
2023-01-01 00:00:46.000000,192.168.1.59,10.0.0.214,TCP,26982,443,430,0
